Fatal Defect::Peterson, Ivars::science::english::usa
Burning Chrome::Gibson, William::sci fi::english::usa
Slouching Towards Bethlehem::Didion, Joan::essays::english::usa
Gateway::Pohl, Frederik::sci fi::english::usa
Story of the Eye::Bataille, Georges::erotica::french::france
Camp Concentration::Disch, Thomas M.::sci fi::english::usa
Chile, Death in the South::Timerman, Jacobo::history
Shah of Shahs::Kapuściński, Ryszard::history
Salvador::Didion, Joan::history::english::usa
Foundation and empire::Asimov, Isaac::sci fi::english::usa
Dr. Bloodmoney::Dick, Philip K.::sci fi::english::usa
Steve Jobs::Isaacson, Walter::biography::english::usa
Foundation (Foundation, #1)::Asimov, Isaac::sci fi::english::usa
Dune (Dune Chronicles, #1)::Herbert, Frank::sci fi::english::usa
Just for Fun::Torvalds, Linus::biography::english::usa
The Demolished Man::Bester, Alfred::sci fi::english::usa
What Just Happened::Gleick, James::science::english::usa
The Day of the Owl::Sciascia, Leonardo::literature::italian::italy
Gilgamesh: A Verse Narrative::Anonymous
The Emperor::Kapuściński, Ryszard::history::polish::poland
A Hunger Artist::Kafka, Franz::literature::german::czechoslovakia
Tales of Odessa::Babel, Isaac::literature::russian::ussr
Orbitsville::Shaw, Bob::science fiction::english
A Tomb for Boris Davidovich::Kiš, Danilo::literature::serbo-croatian::yugoslavia
Looking for History::Guillermoprieto, Alma::history
Introduction to the Philosophy of History::Hegel, Georg Wilhelm Friedrich::philosophy::german::germany
Ways of Seeing::Berger, John::art::english::england
Near to the Wild Heart::Lispector, Clarice::literature::portuguese::brazil
Just Kids::Smith, Patti::biography::english::usa
The Wrong End of Time::Brunner, John::sci fi::english::england
The Talented Mr. Ripley::Highsmith, Patricia::detective::english::england
Get Shorty::Leonard, Elmore::detective::english::usa
Trotsky for Beginners::Ali, Tariq::politics::english
Eye in the Sky::Dick, Philip K.::sci fi::english::usa
Roadside Picnic::Strugatsky, Arkady::sci fi::russian::ussr
The Invention of Morel::Casares, Adolfo Bioy::literature::spanish::argentina
Stranger in a Strange Land::Heinlein, Robert A.::sci fi::english::usa
Icehenge::Robinson, Kim Stanley::sci fi::english::usa
Sleepwalk and Other Stories::Tomine, Adrian::graphic novel::english::usa
The Last Days of Socrates::Plato::philosophy::greek::greece
Buddhism: A Very Short Introduction::Keown, Damien::literature::german::germany
Introducing Anthropology::Davies, Merryl Wyn::anthropology::english::usa
A Country Doctor::Kafka, Franz::literature::german::czechoslovakia
Contemplation::Kafka, Franz::literature::german::czechoslovakia
Tales of Belkin::Pushkin, Alexander::literature::russian::russia
Five Lectures on Psycho-Analysis::Freud, Sigmund::psychology::german::austria
The Catholic Church: A Short History::Küng, Hans::religion::german::germany
Mere Christianity::Lewis, C.S.::religion::english::england
Beyond the Pleasure Principle::Freud, Sigmund::psychology::german::austria
The Lost Honor of Katharina Blum::Böll, Heinrich::literature::german::germany
R.U.R.::Čapek, Karel::plays::czech::czechoslovakia
An Outline of Psycho-Analysis::Freud, Sigmund::psychology::german::austria
Literary Theory: An Introduction::Eagleton, Terry::lit crit::english::england
From Bauhaus to Our House::Wolfe, Tom::architecture::english::usa
Introducing Nietzsche::Gane, Laurence::philosophy::english
House of Mist: A Novel::Bombal, María Luisa::literature::spanish::chile
To Each His Own::Sciascia, Leonardo::literature::italian::italy
Doctor Glas::Söderberg, Hjalmar::literature::swedish::sweden
Introducing Hegel::Spencer, Lloyd::philosophy
Your Mother Was a Neanderthal::Scieszka, Jon::young adult::english::usa
2095::Scieszka, Jon::young adult::english::usa
Island of the Blue Dolphins::O'Dell, Scott::young adult::english::usa
Every Love Story Is a Ghost Story::Max, D.T.::biography
Paradise Lost::Milton, John::poetry::english::england
Beyond Good and Evil::Nietzsche, Friedrich::philosophy::german::germany
Speak::Anderson, Laurie Halse::young adult::english::usa
Othello::Shakespeare, William::plays::english::england
Hamlet::Shakespeare, William::plays::english::england
The Tempest::Shakespeare, William::plays::english::england
Hamlet::Shakespeare, William::plays::english::england
VALIS::Dick, Philip K.::sci fi::english::usa
Introducing Derrida::Collins, Jeff::philosophy
As You Like It::Shakespeare, William::plays::english::english
Introducing Bertrand Russell::Robinson, Dave::philosophy
Introducing Wittgenstein::Heaton, John::philosophy
Steps::Kosiński, Jerzy::literature::english::usa
Sir Gawain and the Green Knight::Unknown::literature::middle english::england
A Concise History of Germany::Fulbrook, Mary::history
One Day in the Life of Ivan Denisovich::Solzhenitsyn, Aleksandr::literature::russian::ussr
Paris Spleen::Baudelaire, Charles::poetry::french::france
The Call of Cthulhu and Other Weird Stories::Lovecraft, H.P.::horror::english::usa
The Foundation Pit::Platonov, Andrei::literature::russian::ussr
Jakob von Gunten::Walser, Robert::literature::german::switzerland
Stoner::Williams, John Edward::literature::english::usa
The Three Stigmata of Palmer Eldritch::Dick, Philip K.::sci fi::english::usa
The Kingdom of This World::Carpentier, Alejo::literature::spanish::cuba
The Fall::Camus, Albert::literature::french::france
She Stoops to Conquer::Goldsmith, Oliver::plays::english::england
Demian::Hesse, Hermann::literature::german::germany
Moravagine::Cendrars, Blaise::French::Switzerland
Moscow to the End of the Line::Yerofeyev, Venedikt::literature::russian::ussr
Pedro Páramo::Rulfo, Juan::literature::spanish::mexico
The History of Sexuality 1: An Introduction::Foucault, Michel::philosophy::french::france
Roxana::Defoe, Daniel::literature::english::england
Go Tell it on the Mountain::Baldwin, James::literature::english::usa
Narrative of the Life of Frederick Douglass::Douglass, Frederick::biography::english::usa
Oroonoko::Behn, Aphra::literature::english::england
Joseph Andrews::Fielding, Henry::literature::english::england
The Way of the World::Congreve, William::literature::english::england
The Joke::Kundera, Milan::literature::czech::czechoslovakia
Omon Ra::Pelevin, Victor::literature::russian::russia
The Possessed::Batuman, Elif::lit crit::english::usa
Players::DeLillo, Don::literature::english::usa
Uncle Vanya::Chekhov, Anton::plays::russian::russia
Zeno's Conscience::Svevo, Italo::literature::italian::italy
Epitaph of a Small Winner::Assis, Machado de::literature::portuguese::brazil
One Past Midnight: The Langoliers::King, Stephen::horror::english::usa
Night Shift::King, Stephen::horror::english::usa
The Beetle Leg::Hawkes, John::literature::english::usa
The Aleph and Other Stories::Borges, Jorge Luis::literature::spanish::argentina
Point Omega::DeLillo, Don::literature::english::usa
Dusklands::Coetzee, J.M.::literature::english::south africa
Molloy::Beckett, Samuel::literature::english::ireland
Dreaming of Babylon: A Private Eye Novel 1942::Brautigan, Richard::literature::english::usa
The Hawkline Monster: A Gothic Western::Brautigan, Richard::literature::english::usa
A Confederate General from Big Sur::Brautigan, Richard::literature::english::usa
Bright Lights, Big City::McInerney, Jay::literature::english::usa
Total Eclipse::Brunner, John::sci fi::english::england
The Brothers Karamazov::Dostoyevsky, Fyodor::literature::russian::russia
The Death of Ivan Ilyich and Other Stories::Tolstoy, Leo::literature::russian::russia
Walden; or, Life in the Woods::Thoreau, Henry David::philosophy::english::usa
Cathedral::Carver, Raymond::literature::english::usa
Invisible Cities::Calvino, Italo::literature::italian::italy
The Lime Twig::Hawkes, John::literature::english::usa
Moby-Dick; or, The Whale::Melville, Herman::literature::english::usa
Hatchet (Brian's Saga, #1)::Paulsen, Gary::young adult::english::usa
Nightwood::Barnes, Djuna::literature::english::usa
Absalom, Absalom!::Faulkner, William::literature::english::usa
The Tragedy of Mariam::Cary, Elizabeth::plays::English::England
The Circuit::Jiménez, Francisco::young adult::english::usa
Billy Budd and Other Stories::Melville, Herman::literature::english::usa
The Red Badge of Courage::Crane, Stephen::literature::english::usa
City of Quartz::Davis, Mike::history::english::usa
Ender's Game::Card, Orson Scott::sci fi::english::usa
Holes::Sachar, Louis::young adult::english::usa
Harry Potter and the Prisoner of Azkaban::Rowling, J.K.::young adult::english::usa
Harry Potter and the Chamber of Secrets::Rowling, J.K.::young adult::english::usa
Harry Potter and the Sorcerer's Stone::Rowling, J.K.::young adult::english::usa
Adventures of Huckleberry Finn::Twain, Mark::literature::english::usa
The Sound and the Fury::Faulkner, William::literature::english::usa
Monster::Myers, Walter Dean::young adult::english::usa
To Kill a Mockingbird::Lee, Harper::literature::english::usa
As I Lay Dying::Faulkner, William::literature::english::usa
The Death of Ivan Ilych::Tolstoy, Leo::literature::russian::russia
The House of Mirth::Wharton, Edith::literature::english::usa
Sister Carrie::Dreiser, Theodore::literature::english::usa
The White Album::Didion, Joan::essays::english::usa
Bring the Jubilee::Moore, Ward::sci fi::english::usa
The Perks of Being a Wallflower::Chbosky, Stephen::young adult::english::usa
Romeo and Juliet::Shakespeare, William::plays::english::england
The Penultimate Truth::Dick, Philip K.::sci fi::english::usa
The Chrysalids::Wyndham, John::sci fi::english::england
Making Sense of the Troubles::McKittrick, David::history::english
A Place in Space::Snyder, Gary::essays::english::usa
Diary of a Mosquito Abatement Man::Porcellino, John::graphic novel::english::usa
The Big Empty::Mailer, Norman::essays::english::usa
Grand Inquisitor::Dostoyevsky, Fyodor::literature::russian::russia
Despite Everything: A Cometbus Omnibus::Cometbus, Aaron::literature::english::usa
Double Duce::Cometbus, Aaron::literature::english::usa
Alabama Wildman::Moore, Thurston::poetry::english::usa
No Country for Old Men::McCarthy, Cormac::literature::english::usa
Do Androids Dream of Electric Sheep?::Dick, Philip K.::sci fi::english::usa
Pulp::Bukowski, Charles::literature::english::usa
Jack London: A Life::Kershaw, Alex::biography::english::usa
